kHz;Time(UTC);Days;ITU;Station;Lng;Target;Remarks;P;Start;Stop
60;0000-2400;;USA;WWVB Colorado;-TS;USA;ff;1;;[0519]
612;1700-1715;Fr-Su;USA;Trans World Radio;KZ;CAs;/KGZ;1;;[0324]
612;1700-1730;Mo-Th;USA;Trans World Radio;;CAs;/KGZ;1;;
612;1715-1730;Fr-Su;USA;Trans World Radio;KG;CAs;/KGZ;1;;
700;0000-2400;;USA;WLW Cincinnati, OH;E;USA;ci;1;;
800;0000-0230;;USA;Trans World Radio;S;CUB;/BES;1;;[1218]
800;0230-0330;Tu-Sa;USA;Trans World Radio;S;CUB;/BES;1;;[0319]
800;0830-0945;;USA;Trans World Radio;P;SAm;/BES;1;;
800;0945-1000;Sa;USA;Trans World Radio;MX;SAm;/BES;1;;
800;0945-1000;Su-Fr;USA;Trans World Radio;P;SAm;/BES;1;;
800;1000-1130;;USA;Trans World Radio;S;Car;/BES;1;;
800;2330-2400;;USA;Trans World Radio;E;Car;/BES;1;;
972;1630-1700;;USA;VoA Radio Ashna;PS;AFG;/TJK;6;1512;2903
1160;0000-2400;;USA;KSL Salt Lake City, UT;E;USA;ks;1;;
1350;1800-2030;;USA;Trans World Radio;A;ME;/ARM;8;;
1377;1710-1725;;USA;Trans World Radio;TK;CAs;/ARM;1;;
1377;1725-1740;;USA;Trans World Radio;KZ;CAs;/ARM;1;;
1377;1740-1755;;USA;Trans World Radio;KPK;CAs;/ARM;1;;[1025]
1377;1800-1930;;USA;Trans World Radio;FS;IRN;/ARM;1;;[1025]
1377;2030-2145;;USA;Trans World Radio;UK;UKR;/ARM;2;;[1124]
1386;0530-0830;;USA;Radio Liberty;R;EEu;/LTU-v;1;;[1225]
1395;1500-1700;;USA;Radio Farda;FS;IRN;/ARM;6;2301;2903
1395;1530-1730;;USA;Radio Farda;FS;IRN;/ARM;6;1501;2201
1467;2115-2145;;USA;Trans World Radio;KB;NAf;/F-ro;8;;
1467;2145-2300;;USA;Trans World Radio;A;NAf;/F-ro;8;;
1548;0000-2400;;USA;Voice of America;FS;IRN;/KWT;1;0603;
1548;1730-2330;;USA;Voice of America;FS;IRN;/KWT;6;1001;0503
2182;0000-2400;;I;Lampedusa Radio IQN;I;SEu;lm;1;;
2500;0000-2400;;HWA;WWVH Hawaii (f.ann.);-TS;USA;a;1;;[0122]
2500;0000-2400;;USA;WWV Colorado (m.ann.);-TS;USA;fa;1;;[0126]
2869;0000-2400;;USA;San Francisco Radio CEP;E;EOc;dx;1;;
2887;0000-2400;;USA;New York Radio;E;Car;bg;1;;[1119]
2962;0000-2400;;USA;New York Radio;E;NAO;bg;1;;
2998;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/GUM-b;1;;
2998;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/HWA-m;1;;
3016;0000-2400;;USA;New York Radio;E;NAO;bg;1;;[0221]
3265;0000-0100;Sa;USA;WBCQ The Planet;E;NAm;q;5;;[0925]
3413;0000-2400;;USA;San Francisco Radio CEP;E;EOc;dx;1;;
3452;0000-2400;;USA;San Francisco Radio CEP;E;EOc;dx;1;;
3455;0000-2400;;USA;New York Radio;E;NAO;bg;1;;[1221]
3455;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/HWA-m;1;;
3467;0000-2400;;USA;San Francisco Radio SP;E;Oc;/HWA-m;1;;
3494;0000-2400;;USA;New York Radio;E;NAO;bg;1;;
3494;0000-2400;;USA;San Francisco R. LDOC;E;Oc;dx;1;;
4005;0000-2400;;USA;NSS US Navy;-TY;NAm;a;1;;
4032;0100-0330;Sa;USA;Ballsmacker Radio;E;ENA;xx;1;;[0225]
4045;1100-1130;;USA;WCY Marine Weather Ctr;E;Car;LL;2;;
4045;1130-1200;;USA;WCY Marine Weather Ctr;E;BAH;LL;2;;[0220]
4185;0000-2400;irr;USA;Various pirates;E;NAm;xx;1;;[0124]
4235;0230-0505;;USA;NMF Fax Boston MA;;ENA;bo;1;;[0824]
4235;0745-1040;;USA;NMF Fax Boston MA;;ENA;bo;1;;
4247;1700-2400;Sa;USA;MRHS KPH Bolinas, CA;-CW;WNA;pr;5;;
4247;1800-0100;Sa;USA;MRHS KPH Bolinas, CA;-CW;WNA;pr;4;;
4316;0330-0410;;USA;NMG USCG New Orleans;E;NAm;nm;1;;[0124]
4316;0515-0550;;USA;NMG USCG New Orleans;E;NAm;nm;1;;[0321]
4316;0930-1015;;USA;NMG USCG New Orleans;E;NAm;nm;1;;[0824]
4316;1115-1150;;USA;NMG USCG New Orleans;E;NAm;nm;1;;
4316;1530-1605;;USA;NMG USCG New Orleans;E;NAm;nm;1;;
4316;1715-1750;;USA;NMG USCG New Orleans;E;NAm;nm;1;;
4316;2130-2245;;USA;NMG USCG New Orleans;E;NAm;nm;1;;[0120]
4316;2315-2350;;USA;NMG USCG New Orleans;E;NAm;nm;1;;[0317]
4317.9;0000-0305;;USA;NMG Fax New Orleans;;Car;nm;1;;[0321]
4317.9;0600-0855;;USA;NMG Fax New Orleans;;Car;nm;1;;
4317.9;1200-1505;;USA;NMG Fax New Orleans;;Car;nm;1;;[0918]
4317.9;1800-2105;;USA;NMG Fax New Orleans;;Car;nm;1;;
4346;0140-0415;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;[0921]
4346;0655-1015;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;[0522]
4346;1120-1235;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;[0421]
4346;1400-1615;;USA;NMC Fax Pt Reyes CA;;WNA;-pr;1;;
